email,address,name,role,tdt_id,username,password,gender,phone_number,date_of_birth
19020043@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Xa Nguyên Lộc,student,19020043,19020043,bach,male,3501212752,2004-06-03
19020044@student.tdtu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Ca Bạch Tuyết,student,19020044,19020044,bach,male,182764291,2004-10-14
19020045@student.tdtu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Vũ Quế Anh,student,19020045,19020045,bach,male,223544128,2004-09-07
19020046@student.tdtu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Nguyễn Phương Thảo,student,19020046,19020046,bach,male,2164224601,2004-01-25
19020047@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Thang Phương Quỳnh,student,19020047,19020047,bach,male,378676173,2004-12-01
19020048@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Võ Minh Hải,student,19020048,19020048,bach,male,370895424,2004-01-13
19020049@student.tdtu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Người Nghệ An,student,19020049,19020049,bach,male,372022214,2004-08-07
19020050@student.tdtu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Người Hải Phòng,student,19020050,19020050,bach,male,383848684,2004-06-22
19020051@student.tdtu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Mộc Đạt Hoà,student,19020051,19020051,bach,male,2192155011,2004-09-02
19020052@student.tdtu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Thanh Trúc,student,19020052,19020052,bach,male,3501212752,2004-06-21
19020053@student.tdtu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Quán Công Hậu,student,19020053,19020053,bach,male,2192155011,2004-06-04
19020054@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Nhan Tuấn Khải ,student,19020054,19020054,bach,male,3501212752,2004-09-01
19020055@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Cai Tấn Trình,student,19020055,19020055,bach,male,182764291,2004-01-04
19020056@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Danh Minh Thư,student,19020056,19020056,bach,male,223544128,2004-12-18
19020057@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Khuất Thái Vân,student,19020057,19020057,bach,male,2164224601,2004-02-11
19020058@student.tdtu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Dương Minh Vương,student,19020058,19020058,bach,male,378676173,2004-06-24
19020059@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Uông Hưng Thuỷ,student,19020059,19020059,bach,male,370895424,2004-12-09
19020060@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Liên Phú Ân,student,19020060,19020060,bach,male,372022214,2004-10-16
